,Gamma,Error,Time,Iterations
1,0.999,0,1.4210801124572754,18
2,0.998,0,1.0018045902252197,18
3,0.997,1,0.6091911792755127,17
4,0.996,1,0.4647243022918701,17
5,0.995,1,0.3511826992034912,17
6,0.994,1,0.2649803161621094,17
7,0.993,1,0.20897507667541504,17
8,0.992,1,0.20307707786560059,17
9,0.991,1,0.17122554779052734,17
10,0.99,2,0.1503758430480957,16
11,0.989,2,0.1249704360961914,16
12,0.988,2,0.12497091293334961,16
13,0.987,2,0.12209510803222656,16
14,0.986,2,0.10440182685852051,16
15,0.985,2,0.10934734344482422,16
16,0.984,2,0.09372901916503906,16
17,0.983,2,0.07813405990600586,16
18,0.982,3,0.06248974800109863,15
19,0.981,3,0.0791933536529541,15
20,0.98,3,0.07563281059265137,15
21,0.979,3,0.06980609893798828,15
22,0.978,3,0.0678243637084961,15
23,0.977,3,0.06479191780090332,15
24,0.976,3,0.03647565841674805,15
25,0.975,3,0.06251311302185059,15
26,0.974,3,0.03121471405029297,15
27,0.973,4,0.04689764976501465,14
28,0.972,4,0.04683065414428711,14
29,0.971,4,0.03124237060546875,14
30,0.97,4,0.04778242111206055,14
31,0.969,4,0.04291391372680664,14
32,0.968,4,0.04983806610107422,14
33,0.967,4,0.03889608383178711,14
34,0.966,4,0.039929866790771484,14
35,0.965,4,0.036864519119262695,14
36,0.964,4,0.032912254333496094,14
37,0.963,4,0.025242328643798828,14
38,0.962,5,0.03124237060546875,13
39,0.961,5,0.015654325485229492,13
40,0.96,5,0.031243085861206055,13
41,0.959,5,0.032366037368774414,13
42,0.958,5,0.01562976837158203,13
43,0.957,5,0.031238079071044922,13
44,0.956,5,0.015621423721313477,13
45,0.955,5,0.026655197143554688,13
46,0.954,5,0.03127455711364746,13
47,0.953,5,0.02635812759399414,13
48,0.952,5,0.02194046974182129,13
49,0.951,6,0.025931596755981445,12
50,0.95,6,0.021974563598632812,12
51,0.949,6,0.020910263061523438,12
52,0.948,6,0.020943403244018555,12
53,0.947,6,0.01994800567626953,12
54,0.946,6,0.018947124481201172,12
55,0.945,6,0.01897883415222168,12
56,0.944,6,0.026898622512817383,12
57,0.943,6,0.017952442169189453,12
58,0.942,6,0.01795196533203125,12
59,0.941,6,0.01795196533203125,12
60,0.94,6,0.015957117080688477,12
61,0.9390000000000001,6,0.014955520629882812,12
62,0.938,6,0.009398460388183594,12
63,0.937,7,0.015653133392333984,11
64,0.9359999999999999,7,0.015589714050292969,11
65,0.935,7,0.0,11
66,0.9339999999999999,7,0.015621423721313477,11
67,0.933,7,0.015621185302734375,11
68,0.9319999999999999,7,0.01565384864807129,11
69,0.931,7,0.015623092651367188,11
70,0.9299999999999999,7,0.0,11
71,0.929,7,0.015615463256835938,11
72,0.928,7,0.015621185302734375,11
73,0.927,7,0.015593767166137695,11
