,Gamma,Error,Time,Iterations
1,0.999,0,0.008976459503173828,72
2,0.998,0,0.003989219665527344,71
3,0.997,1,0.003989458084106445,71
4,0.996,1,0.003988027572631836,70
5,0.995,1,0.003989458084106445,70
6,0.994,1,0.003989219665527344,69
7,0.993,1,0.0039899349212646484,69
8,0.992,1,0.003988742828369141,68
9,0.991,1,0.0029921531677246094,68
10,0.99,2,0.002991914749145508,67
11,0.989,2,0.003989219665527344,67
12,0.988,2,0.004986763000488281,66
13,0.987,2,0.004988193511962891,65
14,0.986,2,0.003989458084106445,65
15,0.985,2,0.0037021636962890625,65
16,0.984,2,0.0,64
17,0.983,2,0.0,64
18,0.982,3,0.0,63
19,0.981,3,0.0,63
20,0.98,3,0.015621185302734375,62
21,0.979,3,0.0,62
22,0.978,3,0.0,61
23,0.977,3,0.0,61
24,0.976,3,0.01564955711364746,60
25,0.975,3,0.0,60
26,0.974,3,0.0,60
27,0.973,4,0.0,59
28,0.972,4,0.015620946884155273,59
29,0.971,4,0.0,58
30,0.97,4,0.0,58
31,0.969,4,0.0,58
32,0.968,4,0.0,57
33,0.967,4,0.015621185302734375,57
34,0.966,4,0.0,56
35,0.965,4,0.0,56
36,0.964,4,0.0,56
37,0.963,5,0.0,55
38,0.962,5,0.01562190055847168,55
39,0.961,5,0.0,55
40,0.96,5,0.0,54
41,0.959,5,0.0,54
42,0.958,5,0.0,54
43,0.957,5,0.015592575073242188,53
44,0.956,5,0.0,53
45,0.955,5,0.0,53
46,0.954,5,0.0,52
47,0.953,5,0.0,52
48,0.952,5,0.0,52
49,0.951,6,0.015621423721313477,51
50,0.95,6,0.0,51
51,0.949,6,0.0,51
52,0.948,6,0.0,50
53,0.947,6,0.0,50
54,0.946,6,0.0,50
55,0.945,6,0.015650033950805664,49
56,0.944,6,0.0,49
57,0.943,6,0.0,49
58,0.942,6,0.0030248165130615234,49
59,0.941,6,0.002988100051879883,48
60,0.94,6,0.001994609832763672,48
61,0.9390000000000001,6,0.0029914379119873047,48
62,0.938,6,0.0029916763305664062,47
63,0.937,7,0.0020012855529785156,47
64,0.9359999999999999,7,0.002022981643676758,47
65,0.935,7,0.002991199493408203,47
66,0.9339999999999999,7,0.0029921531677246094,46
67,0.933,7,0.001994609832763672,46
68,0.9319999999999999,7,0.0029931068420410156,46
69,0.931,7,0.0029921531677246094,46
70,0.9299999999999999,7,0.002964496612548828,45
71,0.929,7,0.00399017333984375,45
72,0.928,7,0.002021312713623047,45
73,0.927,7,0.002991914749145508,45
74,0.926,7,0.0029921531677246094,44
75,0.925,7,0.0029969215393066406,44
76,0.924,7,0.0029609203338623047,44
77,0.923,7,0.0020265579223632812,44
78,0.922,7,0.0029871463775634766,43
79,0.921,8,0.0019953250885009766,43
80,0.92,8,0.001993894577026367,43
81,0.919,8,0.0039615631103515625,43
82,0.918,8,0.003023386001586914,43
83,0.917,8,0.001995563507080078,42
84,0.916,8,0.0019898414611816406,42
85,0.915,8,0.002964496612548828,42
86,0.914,8,0.0020227432250976562,42
87,0.913,8,0.002992391586303711,41
88,0.912,8,0.002027273178100586,41
89,0.911,8,0.001985788345336914,41
90,0.91,8,0.001995086669921875,41
91,0.909,8,0.0019943714141845703,41
92,0.908,8,0.001966714859008789,40
93,0.907,8,0.0030248165130615234,40
94,0.906,8,0.0029592514038085938,40
95,0.905,8,0.002993345260620117,40
96,0.904,8,0.0019936561584472656,40
97,0.903,8,0.001995563507080078,39
98,0.902,9,0.0019936561584472656,39
99,0.901,9,0.001994609832763672,39
100,0.9,9,0.002992391586303711,39
101,0.899,9,0.002991199493408203,39
102,0.898,9,0.0019943714141845703,39
103,0.897,9,0.0009975433349609375,38
104,0.896,9,0.0019941329956054688,38
105,0.895,9,0.0019953250885009766,38
106,0.894,9,0.002991199493408203,38
107,0.893,9,0.002993345260620117,38
108,0.892,9,0.002991914749145508,37
109,0.891,9,0.0019943714141845703,37
110,0.89,9,0.001994609832763672,37
111,0.889,9,0.0019943714141845703,37
112,0.888,9,0.0019948482513427734,37
113,0.887,9,0.003989696502685547,37
114,0.886,9,0.0019991397857666016,36
115,0.885,9,0.0019898414611816406,36
116,0.884,9,0.0009968280792236328,36
117,0.883,9,0.002053976058959961,36
118,0.882,9,0.0019626617431640625,36
119,0.881,9,0.0019948482513427734,36
120,0.88,9,0.00397038459777832,35
121,0.879,10,0.00500941276550293,35
122,0.878,10,0.003991127014160156,35
123,0.877,10,0.0029838085174560547,35
124,0.876,10,0.003996372222900391,35
125,0.875,10,0.0039882659912109375,35
126,0.874,10,0.0019600391387939453,35
127,0.873,10,0.0019948482513427734,34
128,0.872,10,0.000997304916381836,34
129,0.871,10,0.0009975433349609375,34
130,0.87,10,0.0020008087158203125,34
131,0.869,10,0.0019948482513427734,34
132,0.868,10,0.001994609832763672,34
133,0.867,10,0.0019941329956054688,33
134,0.866,10,0.000997304916381836,33
135,0.865,10,0.0019948482513427734,33
136,0.864,10,0.0019943714141845703,33
137,0.863,10,0.0029938220977783203,33
138,0.862,10,0.001992940902709961,33
139,0.861,10,0.000997781753540039,33
140,0.86,10,0.0020062923431396484,33
141,0.859,10,0.000985860824584961,32
142,0.858,10,0.000997304916381836,32
143,0.857,10,0.001994609832763672,32
144,0.856,10,0.001995086669921875,32
145,0.855,10,0.001994609832763672,32
146,0.854,10,0.0019943714141845703,32
147,0.853,10,0.0019943714141845703,32
148,0.852,10,0.0019953250885009766,31
149,0.851,10,0.0009970664978027344,31
150,0.85,11,0.0019948482513427734,31
151,0.849,11,0.0019948482513427734,31
152,0.848,11,0.0019948482513427734,31
153,0.847,11,0.0019943714141845703,31
154,0.846,11,0.001994609832763672,31
155,0.845,11,0.001994609832763672,31
156,0.844,11,0.001995086669921875,30
157,0.843,11,0.0019941329956054688,30
158,0.842,11,0.001994609832763672,30
159,0.841,11,0.001995086669921875,30
160,0.84,11,0.000965118408203125,30
161,0.839,11,0.000997781753540039,30
162,0.838,11,0.0019958019256591797,30
163,0.837,11,0.001992940902709961,30
164,0.836,11,0.0019948482513427734,30
165,0.835,11,0.0010013580322265625,29
166,0.834,11,0.0009982585906982422,29
