Gamma,Error,Time,Iterations
0.999,4,9.215358496,25
0.998,15,3.740998507,24
0.997,19,2.928169012,23
0.996,24,2.456432343,23
0.995,29,2.172189474,24
0.994,32,1.955769777,24
0.993,34,1.728376865,23
0.992,37,1.508965254,22
0.991,39,1.389284372,22
0.99,40,1.320469141,22
0.989,40,1.255644321,22
0.988,40,1.21175909,23
0.987,41,1.171866655,23
0.986,41,1.09008503,23
0.985,42,1.052185059,23
0.984,43,1.005311966,23
0.983,44,0.95843792,23
0.982,44,0.918542862,23
0.981,46,0.867680073,22
0.98,47,0.866682529,23
0.979,48,0.827786207,23
0.978,48,0.799859047,23
0.977,50,0.737030745,22
0.976,50,0.706113815,22
0.975,50,0.677188396,22
0.974,50,0.662230015,22
0.973,50,0.697135687,23
0.972,49,0.666219234,22
0.971,50,0.646271467,22
0.97,50,0.63629818,22
0.969,51,0.647269011,23
0.968,51,0.619345188,23
0.967,51,0.563493967,22
0.966,51,0.552522659,22
0.965,51,0.536565304,22
0.964,51,0.541556835,22
0.963,51,0.530580997,22
0.962,51,0.545539141,23
0.961,51,0.536564827,23
0.96,51,0.516615868,23
0.959,52,0.491684914,22
0.958,53,0.479716063,22
0.957,53,0.489691734,23
0.956,54,0.473733902,22
0.955,54,0.461764336,22
0.954,54,0.457774878,22
0.953,55,0.440821171,22
0.952,55,0.433839321,22
0.951,55,0.436830997,23
0.95,55,0.417882919,22
0.949,55,0.414888144,22
0.948,55,0.411898136,22
0.947,56,0.395941019,22
0.946,56,0.385967731,22
0.945,56,0.385967731,22
0.944,56,0.381978273,22
0.943,56,0.398933172,22
0.942,56,0.376991987,22
0.941,56,0.354053259,22
0.94,56,0.354053259,22
0.939,56,0.36602211,22
0.938,56,0.367018938,22
0.937,57,0.363030672,22
0.936,57,0.348065853,22
0.935,57,0.344081402,22
0.934,58,0.323135376,22
0.933,58,0.334106445,23
0.932,58,0.314160109,22
0.931,58,0.317153215,22
