,Gamma,Error,Time,Iterations
1,0.999,6,0.5595071315765381,933
2,0.998,15,0.4827101230621338,761
3,0.997,19,0.43184590339660645,627
4,0.996,26,0.3261275291442871,477
5,0.995,29,0.2822451591491699,406
6,0.994,32,0.23437213897705078,369
7,0.993,36,0.21043825149536133,333
8,0.992,38,0.19547820091247559,308
9,0.991,40,0.18151593208312988,289
10,0.99,40,0.1685478687286377,273
11,0.989,41,0.1605701446533203,258
12,0.988,41,0.14561104774475098,244
13,0.987,42,0.14561057090759277,231
14,0.986,42,0.13164782524108887,219
15,0.985,42,0.12865662574768066,208
16,0.984,46,0.12167501449584961,199
17,0.983,47,0.11968040466308594,192
18,0.982,47,0.1156911849975586,184
19,0.981,48,0.11070442199707031,178
20,0.98,49,0.11269974708557129,172
21,0.979,50,0.1107029914855957,167
22,0.978,51,0.10671639442443848,162
23,0.977,51,0.09873652458190918,157
24,0.976,51,0.09474563598632812,153
25,0.975,50,0.09275150299072266,149
26,0.974,50,0.08976054191589355,145
27,0.973,50,0.0907602310180664,141
28,0.972,50,0.08776473999023438,137
29,0.971,50,0.08876395225524902,133
30,0.97,51,0.08178186416625977,129
31,0.969,52,0.08078598976135254,126
32,0.968,52,0.07978534698486328,123
33,0.967,52,0.07280611991882324,119
34,0.966,52,0.07380199432373047,116
35,0.965,53,0.07380318641662598,113
36,0.964,53,0.06981301307678223,110
37,0.963,54,0.06981420516967773,107
38,0.962,54,0.06681990623474121,104
39,0.961,54,0.06482648849487305,101
40,0.96,54,0.06083536148071289,99
41,0.959,55,0.05984163284301758,97
42,0.958,55,0.05984020233154297,95
43,0.957,55,0.0578463077545166,93
44,0.956,56,0.055854082107543945,91
45,0.955,56,0.05285787582397461,89
46,0.954,56,0.051862478256225586,88
47,0.953,56,0.054852962493896484,86
48,0.952,57,0.05285811424255371,85
49,0.951,57,0.05186104774475098,83
50,0.95,58,0.04986834526062012,82
51,0.949,59,0.04886960983276367,80
52,0.948,60,0.05186152458190918,79
53,0.947,60,0.048870086669921875,78
54,0.946,60,0.048870086669921875,77
55,0.945,60,0.04587578773498535,76
56,0.944,60,0.0468747615814209,75
57,0.943,60,0.044878482818603516,74
58,0.942,60,0.046872615814208984,73
59,0.941,60,0.044881582260131836,72
60,0.94,60,0.04388165473937988,71
61,0.9390000000000001,60,0.04288887977600098,70
62,0.938,60,0.04288482666015625,69
63,0.937,60,0.042885780334472656,68
64,0.9359999999999999,60,0.04188704490661621,67
65,0.935,62,0.03989386558532715,66
66,0.9339999999999999,62,0.039893150329589844,65
67,0.933,62,0.03989148139953613,65
68,0.9319999999999999,62,0.03889608383178711,64
69,0.931,62,0.04188823699951172,63
70,0.9299999999999999,62,0.03789830207824707,62
71,0.929,62,0.03789710998535156,61
72,0.928,62,0.03590512275695801,61
73,0.927,63,0.03490805625915527,60
74,0.926,63,0.03490757942199707,59
75,0.925,63,0.034906864166259766,59
76,0.924,63,0.033910512924194336,58
77,0.923,63,0.03390979766845703,57
78,0.922,63,0.03390932083129883,57
79,0.921,63,0.03291201591491699,56
80,0.92,63,0.032911062240600586,55
81,0.919,63,0.03291130065917969,55
82,0.918,63,0.03291153907775879,54
83,0.917,63,0.03390860557556152,54
84,0.916,63,0.03191518783569336,53
85,0.915,63,0.03191685676574707,52
86,0.914,64,0.030917644500732422,52
87,0.913,63,0.029918193817138672,51
88,0.912,63,0.030917882919311523,51
89,0.911,64,0.031914710998535156,50
90,0.91,64,0.029920339584350586,50
91,0.909,64,0.029919147491455078,49
92,0.908,64,0.02991795539855957,49
93,0.907,64,0.02892613410949707,48
94,0.906,64,0.027925729751586914,48
95,0.905,64,0.02792668342590332,48
96,0.904,65,0.02792644500732422,47
97,0.903,65,0.02792525291442871,47
98,0.902,65,0.02792525291442871,46
99,0.901,66,0.02692723274230957,46
